node_id,anomaly_score
0,1.299887776374817
1,1.3035153150558472
2,1.3028372526168823
3,1.300910234451294
4,1.3014205694198608
5,1.3018518686294556
6,2.823028326034546
7,1.5556105375289917
8,2.583089590072632
9,1.3767651319503784
10,1.3767651319503784
11,1.3767651319503784
12,1.3767651319503784
13,1.3767651319503784
14,1.3767651319503784
15,1.3767651319503784
16,1.3755182027816772
17,1.3784610033035278
18,1.3784610033035278
19,1.3784610033035278
20,1.3784610033035278
21,1.3784610033035278
22,1.3784610033035278
23,1.3784610033035278
24,1.377198338508606
25,2.0671756267547607
26,0.03791625425219536
27,1.3748242855072021
28,1.3748242855072021
29,1.3748242855072021
30,1.3748242855072021
31,1.3748242855072021
32,1.3748242855072021
33,1.3748242855072021
34,1.3735942840576172
35,0.3775469660758972
36,0.13085870444774628
37,0.08045423775911331
38,1.3784610033035278
39,1.3784610033035278
40,1.3784610033035278
41,1.3784610033035278
42,1.3784610033035278
43,1.3784610033035278
44,1.3784610033035278
45,1.377198338508606
46,0.2097381055355072
47,0.14076240360736847
48,0.21489080786705017
49,0.14901766180992126
50,0.12644192576408386
51,0.12702630460262299
52,1.3799585103988647
53,1.3799585103988647
54,1.3799585103988647
55,1.3799585103988647
56,1.3799585103988647
57,1.3799585103988647
58,1.3799585103988647
59,1.378682017326355
60,0.12072843313217163
61,0.09809524565935135
62,0.07585092633962631
63,0.07585092633962631
64,0.19260559976100922
65,1.3767651319503784
66,1.3767651319503784
67,1.3767651319503784
68,1.3767651319503784
69,1.3767651319503784
70,1.3767651319503784
71,1.3767651319503784
72,1.3755182027816772
73,0.355435311794281
74,0.3937318027019501
75,0.6816587448120117
76,0.4612051248550415
77,0.3776758909225464
78,0.758600115776062
79,0.7716934680938721
80,0.48675453662872314
81,0.39000144600868225
82,0.4855833649635315
83,0.37990427017211914
84,0.5040870904922485
85,0.7417328357696533
86,0.10055732727050781
87,0.059929270297288895
88,0.06153254956007004
89,0.4106636047363281
90,0.7899594306945801
91,0.737196147441864
92,0.743402361869812
93,0.7254839539527893
94,0.7588258981704712
95,0.7488061189651489
96,0.7898649573326111
97,0.09129119664430618
98,0.3247179687023163
99,0.25771284103393555
100,1.1896085739135742
101,1.264985203742981
102,1.171245813369751
103,1.2861546277999878
104,1.1814000606536865
105,1.2953212261199951
106,1.3049731254577637
107,1.3487086296081543
108,1.4405056238174438
109,0.369579017162323
110,0.35084983706474304
111,0.3446429967880249
112,0.33844640851020813
113,0.3385656774044037
114,0.3245042562484741
115,0.3228692412376404
116,0.3231848180294037
117,0.09249360114336014
118,0.08466412872076035
119,0.08104529976844788
120,0.08514825254678726
121,0.08159483969211578
122,0.08614833652973175
123,0.08674126863479614
124,0.1036377102136612
125,0.10141466557979584
126,0.12304453551769257
127,0.10433856397867203
128,0.11494944989681244
129,0.10216359049081802
130,0.1129390224814415
131,0.11262810230255127
132,0.1316884458065033
133,0.13741129636764526
134,0.13748250901699066
135,0.5482054352760315
136,0.5450113415718079
137,0.5463327169418335
138,0.532448947429657
139,0.5570828914642334
140,0.5329110026359558
141,0.5356901288032532
142,0.45956477522850037
143,2.7019808292388916
144,2.7019808292388916
145,2.7019808292388916
146,2.7019808292388916
147,2.704380989074707
148,0.39934688806533813
149,0.386476993560791
150,0.37645620107650757
151,0.3657277822494507
152,0.3650335669517517
153,2.7010552883148193
154,2.7010552883148193
155,2.7010552883148193
156,2.7010552883148193
157,2.7010552883148193
158,2.7010552883148193
159,2.7010552883148193
160,2.7010552883148193
161,0.43497616052627563
162,0.43644073605537415
163,0.4307176172733307
164,0.5292307138442993
165,0.5312102437019348
166,0.4375215768814087
167,0.4014255106449127
168,0.4500923156738281
169,0.21564707159996033
170,0.21564707159996033
171,0.21564707159996033
172,0.21564707159996033
173,0.21564707159996033
174,0.21564707159996033
175,0.21564707159996033
176,0.21564707159996033
177,0.10529123991727829
178,0.10529123991727829
179,0.10529123991727829
180,0.10529123991727829
181,0.10529123991727829
182,1.2705140113830566
183,1.27583646774292
184,1.2665778398513794
185,1.4503438472747803
186,1.4535781145095825
187,1.2801103591918945
188,1.218445897102356
189,1.2971341609954834
190,0.1290196180343628
191,0.11332211643457413
192,0.5849618911743164
193,2.3707449436187744
194,0.10130239278078079
195,0.14326129853725433
196,0.16505132615566254
197,0.1174502968788147
198,0.12408440560102463
199,0.07764881104230881
200,0.07764881104230881
201,0.07764881104230881
202,0.07764881104230881
203,0.07803080976009369
204,0.09852983802556992
205,0.09852983802556992
206,0.09852983802556992
207,0.09852983802556992
208,0.09852983802556992
209,0.09852983802556992
210,0.09852983802556992
211,0.09852983802556992
212,0.1195368617773056
213,1.6013017892837524
214,1.5816259384155273
215,1.576921820640564
216,1.578519344329834
217,1.5726085901260376
218,1.5705513954162598
219,1.5249663591384888
220,1.5941612720489502
221,1.5909686088562012
222,1.5959197282791138
223,1.5775142908096313
224,1.5697473287582397
225,1.4671766757965088
226,1.4570531845092773
227,0.6533267498016357
228,0.5867906212806702
229,0.6011757850646973
230,0.5859200358390808
231,0.6284966468811035
232,0.6284966468811035
233,0.6595326066017151
234,0.7759255170822144
235,0.2853206992149353
236,0.1917153298854828
237,0.14354363083839417
238,0.11756233870983124
239,3.2351438999176025
240,2.2765462398529053
241,2.2381112575531006
242,2.007779836654663
243,2.2624566555023193
244,2.255263090133667
245,1.544528841972351
246,1.7361100912094116
247,1.5362708568572998
248,0.08676157891750336
249,2.5918209552764893
250,0.07507019490003586
251,0.09125726670026779
252,0.1234026849269867
253,0.15438951551914215
254,0.15438951551914215
255,0.15438951551914215
256,0.15438951551914215
257,0.15438951551914215
258,0.15438951551914215
259,0.15438951551914215
260,0.15438951551914215
261,0.15438951551914215
262,0.08147654682397842
263,0.08233307301998138
264,0.07884349673986435
265,0.08233307301998138
266,0.08028370887041092
267,0.08063992112874985
268,0.08000947535037994
269,0.07545240968465805
270,0.04625335708260536
271,0.04016008600592613
272,0.0424865297973156
273,0.04491826146841049
274,0.04672139883041382
275,0.04761914536356926
276,0.04943831264972687
277,0.0497034527361393
278,0.16297174990177155
279,0.18899749219417572
280,0.16297174990177155
281,0.20684437453746796
282,0.043587636202573776
283,0.1269465833902359
284,0.16000191867351532
285,0.1630408763885498
286,0.1895221769809723
287,0.18092863261699677
288,0.06735265254974365
289,0.712700366973877
290,0.048648592084646225
291,0.09882999956607819
292,0.08330471813678741
293,0.06119028478860855
294,0.11635448783636093
295,0.0697210505604744
296,0.05505509674549103
297,0.0931992381811142
298,0.12208675593137741
299,0.10231398046016693
300,0.12695784866809845
301,0.1188066303730011
302,0.04502999037504196
303,0.06081104278564453
304,0.10312677174806595
305,0.09327254444360733
306,0.10411826521158218
307,0.1864861696958542
308,0.09362529218196869
309,0.10411826521158218
310,0.10133124887943268
311,1.3767651319503784
312,1.3767651319503784
313,1.3767651319503784
314,1.3767651319503784
315,1.3767651319503784
316,1.3767651319503784
317,1.3767651319503784
318,1.3755182027816772
319,0.11668750643730164
320,1.3784610033035278
321,1.3784610033035278
322,1.3784610033035278
323,1.3784610033035278
324,1.3784610033035278
325,1.3784610033035278
