node_id,trojan_probability
0,0.9999982
1,0.98856866
2,0.98856866
3,0.98856866
4,0.98856866
5,0.98856866
6,0.98856866
7,0.98856866
8,0.98856866
9,0.98856866
10,0.98856866
11,0.98856866
12,0.98856866
13,0.98856866
14,0.98856866
15,0.98856866
16,0.98856866
17,0.98856866
18,0.98856866
19,0.98856866
20,0.98856866
21,0.98856866
22,0.98856866
23,0.98856866
24,0.98856866
25,0.98856866
26,0.98856866
27,0.98856866
28,0.98856866
29,0.98856866
30,0.98856866
31,0.98856866
32,0.98856866
33,0.98856866
34,0.98856866
35,0.98856866
36,0.98856866
37,0.98856866
38,0.98856866
39,0.98856866
40,0.98856866
41,0.98856866
42,0.98856866
43,0.98856866
44,0.98856866
45,0.98856866
46,0.98856866
47,0.98856866
48,0.98856866
49,0.98856866
50,0.98856866
51,0.98856866
52,0.98856866
53,0.98856866
54,0.98856866
55,0.98856866
56,0.98856866
57,0.98856866
58,0.98856866
59,0.98856866
60,0.98856866
61,0.98856866
62,0.98856866
63,0.98856866
64,0.99999714
65,0.9935548
66,0.9935548
67,0.9935548
68,0.9935548
69,0.9935548
70,0.9935548
71,0.9935548
72,0.9935548
73,0.9935548
74,0.9935548
75,0.9935548
76,0.9935548
77,0.9935548
78,0.9935548
79,0.9935548
80,0.9935548
81,0.9935548
82,0.9935548
83,0.9935548
84,0.9935548
85,0.9935548
86,0.9935548
87,0.9935548
88,0.9935548
89,0.9935548
90,0.9935548
91,0.9935548
92,0.9935548
93,0.9935548
94,0.9935548
95,0.9935548
96,0.9999969
97,0.99724716
98,0.99724716
99,0.99724716
100,0.99724716
101,0.99724716
102,0.99724716
103,0.99724716
104,0.99724716
105,0.99724716
106,0.99724716
107,0.99724716
108,0.99724716
109,0.99724716
110,0.99724716
111,0.99724716
112,0.99996924
113,0.996287
114,0.996287
115,0.996287
116,0.996287
117,0.996287
118,0.996287
119,0.996287
120,0.99995184
121,0.99485403
122,0.99485403
123,0.99485403
124,0.999908
125,0.99256647
126,0.99967253
127,0.99888784
128,0.9985701
129,0.8785224
130,0.95604503
131,0.8785224
132,0.95604503
133,0.8785224
134,0.95604503
135,0.8785224
136,0.95604503
137,0.8785224
138,0.95604503
139,0.8785224
140,0.95604503
141,0.8785224
142,0.95604503
143,0.8785224
144,0.95604503
145,0.8785224
146,0.95604503
147,0.8785224
148,0.95604503
149,0.8785224
150,0.95604503
151,0.8785224
152,0.95604503
153,0.8785224
154,0.95604503
155,0.8785224
156,0.95604503
157,0.8785224
158,0.95604503
159,0.8785224
160,0.95604503
161,0.8785224
162,0.95604503
163,0.8785224
164,0.95604503
165,0.8785224
166,0.95604503
167,0.8785224
168,0.95604503
169,0.8785224
170,0.95604503
171,0.8785224
172,0.95604503
173,0.8785224
174,0.95604503
175,0.8785224
176,0.95604503
177,0.8785224
178,0.95604503
179,0.8785224
180,0.95604503
181,0.8785224
182,0.95604503
183,0.8785224
184,0.95604503
185,0.8785224
186,0.95604503
187,0.8785224
188,0.95604503
189,0.8785224
190,0.95604503
191,0.8785224
192,0.95604503
193,0.8785224
194,0.95604503
195,0.8785224
196,0.95604503
197,0.8785224
198,0.95604503
199,0.8785224
200,0.95604503
201,0.8785224
202,0.95604503
203,0.8785224
204,0.95604503
205,0.8785224
206,0.95604503
207,0.8785224
208,0.95604503
209,0.8785224
210,0.95604503
211,0.8785224
212,0.95604503
213,0.8785224
214,0.95604503
215,0.8785224
216,0.95604503
217,0.8785224
218,0.95604503
219,0.8785224
220,0.95604503
221,0.8785224
222,0.95604503
223,0.8785224
224,0.95604503
225,0.8785224
226,0.95604503
227,0.8785224
228,0.95604503
229,0.8785224
230,0.95604503
231,0.8785224
232,0.95604503
233,0.8785224
234,0.95604503
235,0.8785224
236,0.95604503
237,0.8785224
238,0.95604503
239,0.8785224
240,0.95604503
241,0.8785224
242,0.95604503
243,0.8785224
244,0.95604503
245,0.8785224
246,0.95604503
247,0.8785224
248,0.95604503
249,0.8785224
250,0.8785224
251,0.35863522
252,0.99770796
253,0.8785224
254,0.8785224
255,0.95604503
256,0.8785224
257,0.95604503
258,0.9588901
259,0.9691612
260,0.99261594
261,0.9691612
262,0.99261594
263,0.9691612
264,0.99261594
265,0.9691612
266,0.99261594
267,0.9691612
268,0.99261594
269,0.9691612
270,0.99261594
271,0.9691612
272,0.99261594
273,0.9691612
274,0.99261594
275,0.9691612
276,0.99261594
277,0.9691612
278,0.99261594
279,0.9691612
280,0.99261594
281,0.9691612
282,0.99261594
283,0.9691612
284,0.99261594
285,0.9691612
286,0.99261594
287,0.9691612
288,0.99261594
289,0.9691612
290,0.99261594
291,0.9691612
292,0.99261594
293,0.9691612
294,0.99261594
295,0.9691612
296,0.99261594
297,0.9691612
298,0.99261594
299,0.9691612
300,0.99261594
301,0.9691612
302,0.99261594
303,0.9691612
304,0.99261594
305,0.9691612
306,0.99261594
307,0.9691612
308,0.99261594
309,0.9691612
310,0.99261594
311,0.9691612
312,0.99261594
313,0.9691612
314,0.99261594
315,0.9691612
316,0.99261594
317,0.9691612
318,0.99261594
319,0.9691612
320,0.99261594
321,0.9691612
322,0.99261594
323,0.9691612
324,0.99261594
325,0.9691612
326,0.99261594
327,0.9691612
328,0.99261594
329,0.9691612
330,0.99261594
331,0.9691612
332,0.99261594
333,0.9691612
334,0.99261594
335,0.9691612
336,0.99261594
337,0.9691612
338,0.99261594
339,0.9691612
340,0.99261594
341,0.9691612
342,0.99261594
343,0.9691612
344,0.99261594
345,0.9691612
346,0.99261594
347,0.9691612
348,0.99261594
349,0.9691612
350,0.99261594
351,0.9691612
352,0.99261594
353,0.9691612
354,0.99261594
355,0.9691612
356,0.99261594
357,0.9691612
358,0.99261594
359,0.9691612
360,0.99261594
361,0.9691612
362,0.99261594
363,0.9691612
364,0.99261594
365,0.9691612
366,0.99261594
367,0.9691612
368,0.99261594
369,0.9691612
370,0.99261594
371,0.9691612
372,0.99261594
373,0.9691612
374,0.99261594
375,0.9691612
376,0.99261594
377,0.9691612
378,0.99261594
379,0.9691612
380,0.99261594
381,0.9691612
382,0.99261594
383,0.9691612
384,0.9691612
385,0.5123862
386,0.55969495
387,0.7769242
388,0.9070825
389,0.9436808
390,0.67818385
391,0.49357387
392,0.6728341
393,0.10879042
394,0.6728341
395,0.49357387
396,0.6728341
397,0.24450834
398,0.6728341
399,0.49357387
400,0.6728341
401,0.053330425
402,0.6728341
403,0.49357387
404,0.6728341
405,0.24450834
406,0.6728341
407,0.49357387
408,0.6728341
409,0.10879042
410,0.6728341
411,0.49357387
412,0.6728341
413,0.24450834
414,0.6728341
415,0.49357387
416,0.7015478
417,0.7000917
418,0.68654543
419,0.6652873
420,0.68654543
421,0.6652873
422,0.68654543
423,0.61659014
424,0.68654543
425,0.6652873
426,0.68654543
427,0.61659014
428,0.68654543
429,0.6652873
430,0.68654543
431,0.56238496
432,0.68654543
433,0.6652873
434,0.9034748
435,0.8583467
436,0.900185
437,0.88645893
438,0.900185
439,0.81172246
440,0.900185
441,0.88645893
442,0.900185
443,0.8583467
444,0.900185
445,0.88645893
446,0.90286666
447,0.75363904
448,0.715004
449,0.72847867
450,0.715004
451,0.72847867
452,0.715004
453,0.6980678
454,0.715004
455,0.9111452
456,0.93101436
457,0.8600758
458,0.93101436
459,0.9068894
460,0.9334915
461,0.86952466
462,0.8456316
463,0.82981884
464,0.9752104
465,0.94955164
466,0.9627775
467,0.9455719
468,0.95534366
469,0.7015478
470,0.6728341
471,0.49357387
472,0.6728341
473,0.49357387
474,0.6728341
475,0.24450834
476,0.6728341
477,0.49357387
478,0.6728341
479,0.24450834
480,0.6728341
481,0.49357387
482,0.6728341
483,0.10879042
484,0.6728341
485,0.49357387
486,0.6728341
487,0.24450834
488,0.6728341
489,0.49357387
490,0.6728341
491,0.10879042
492,0.6728341
493,0.49357387
494,0.6728341
495,0.24450834
496,0.6728341
497,0.49357387
498,0.6728341
499,0.053330425
500,0.6728341
501,0.49357387
502,0.6728341
503,0.24450834
504,0.6728341
505,0.9469214
506,0.9332709
507,0.95214045
508,0.9522475
509,0.9150121
510,0.92640764
511,0.9530304
512,0.9486346
513,0.9575243
514,0.9486668
515,0.9616135
516,0.85354424
517,0.89973545
518,0.9671213
519,0.9122845
520,0.93255955
521,0.9392325
522,0.9629575
523,0.94858676
524,0.9354051
525,0.9516549
526,0.96548647
527,0.9458806
528,0.9616312
529,0.9583202
530,0.93961835
531,0.90688723
532,0.9171355
533,0.9701377
534,0.92088354
535,0.97518164
536,0.97575855
537,0.9796714
538,0.9000523
539,0.8996587
540,0.9372911
541,0.96975636
542,0.9427425
543,0.96873516
544,0.9640768
545,0.95645964
546,0.9479768
547,0.90771604
548,0.93839264
549,0.9550937
550,0.95149446
551,0.9579173
552,0.95396984
553,0.9358165
554,0.94505066
555,0.9505998
556,0.9557908
557,0.91172665
558,0.94320947
559,0.93446434
560,0.9182081
561,0.8739294
562,0.55273116
563,0.5119122
564,0.9075865
565,0.57724506
566,0.91944087
567,0.8699779
568,0.9723594
569,0.77402204
570,0.92495507
571,0.9116155
572,0.9816218
573,0.9183282
574,0.9782599
575,0.957526
576,0.95414436
577,0.8877028
578,0.88104284
579,0.8874246
580,0.9543633
581,0.9140021
582,0.9625584
583,0.9019603
584,0.8239838
585,0.9209499
586,0.9573848
587,0.9398327
588,0.82377946
589,0.6414605
590,0.92242545
591,0.78516585
592,0.5048084
593,0.9477492
594,0.89602727
595,0.9049838
596,0.82549244
597,0.92705023
598,0.9225291
599,0.54967254
600,0.5049045
601,0.9493621
602,0.9438682
603,0.86193657
604,0.5048074
605,0.5333813
606,0.82322115
607,0.36330757
608,0.31189615
609,0.9375851
610,0.9237383
611,0.9392731
612,0.31189615
613,0.8775216
614,0.6437429
615,0.2887269
616,0.22720833
617,0.54155576
618,0.9070563
619,0.70173246
620,0.22720833
621,0.2714874
622,0.4704944
623,0.20029986
624,0.30056155
625,0.8789
626,0.9213187
627,0.55385536
628,0.51237696
629,0.53413683
630,0.90768254
631,0.59263235
632,0.5836326
633,0.45257023
634,0.9194701
635,0.59686667
636,0.8706676
637,0.5436455
638,0.97295624
639,0.5244574
640,0.8111442
641,0.27753627
642,0.9249865
643,0.52277714
644,0.91224605
645,0.471685
646,0.9847729
647,0.45271325
648,0.92353123
649,0.40027764
650,0.980022
651,0.45345995
652,0.9754976
653,0.4102714
654,0.9792311
655,0.39099032
656,0.91450447
657,0.21011813
658,0.88105327
659,0.45171496
660,0.8876023
661,0.4083123
662,0.9790127
663,0.39054397
664,0.9159895
665,0.35121384
666,0.9730568
667,0.3909266
668,0.9701836
669,0.36648563
670,0.96840066
671,0.32664073
672,0.9290233
673,0.29546332
674,0.9601062
675,0.39104623
676,0.95837724
677,0.3666069
678,0.96842265
679,0.32666758
680,0.95723474
681,0.32510373
682,0.96384877
683,0.32666907
684,0.9621275
685,0.31469283
686,0.95368105
687,0.27106163
688,0.94886166
689,0.20739684
690,0.89604783
691,0.39003298
