Circuit,Type,Nodes,Mean_MSE,Max_Z,Gini,p99
OC_XILINX_FPGA_CONFIG_INT,Golden,73,0.030961376,5.564044,0.21152824,0.18637703
RS232-T2200,Golden,53,1.1503607,4.4116397,0.1679259,3.4782305
SDRAM,Golden,240,1.8460397,9.722765,0.20498502,10.485028
SOC-WB,Golden,1229,0.9475668,11.217738,0.23587942,10.884343
SPI,Golden,160,2.1150796,4.952979,0.20281476,11.921584
TV_80,Golden,370,1.5331837,4.3988476,0.20204431,4.769078
UART_16550,Golden,348,2.928138,4.9554553,0.23430347,11.92322
AES-HT210,Trojan,423,0.058373768,8.692595,0.36025798,0.976353
AES-T100,Trojan,416,0.055978324,7.6706553,0.3541594,0.8706581
AES-T1000,Trojan,195,0.041102156,7.0693226,0.20059401,0.33764118
AES-T1100,Trojan,461,0.0491293,6.521696,0.22213143,0.40121952
AES-T1200,Trojan,752,0.040421568,10.014374,0.27420586,0.3248016
AES-T1600,Trojan,646,0.08610546,25.259043,0.2865432,0.13018468
AES-T600,Trojan,269,0.040151168,6.8221607,0.16789329,0.3786429
EXTERNAL_ADDER,Trojan,762,184.84494,2.3344822,0.35921055,931.56036
PIC16F84-T100,Trojan,2998,0.11247446,35.44468,0.29825455,0.81724143
PIC16F84-T200,Trojan,2773,0.10812341,33.02463,0.2951883,0.8013655
PIC16F84-T300,Trojan,2767,0.107326716,33.04546,0.2947743,0.7642011
PIC16F84-T400,Trojan,2767,0.107402265,33.02859,0.29482865,0.7642011
RS232-T100,Trojan,53,0.027509168,3.3826551,0.16588998,0.08502218
RS232-T1000,Trojan,268,4.746582,5.7909226,0.21755022,24.728619
RS232-T1100,Trojan,271,4.781715,5.843156,0.21692574,24.489994
RS232-T1200,Trojan,273,4.500035,5.8801928,0.2246806,24.8446
RS232-T1300,Trojan,267,4.5361795,5.9033175,0.2198391,25.21248
RS232-T1400,Trojan,269,4.601277,5.863748,0.2215097,24.634623
RS232-T1500,Trojan,270,4.741258,5.8073735,0.21794546,24.725615
RS232-T1600,Trojan,265,4.5278645,5.8810024,0.22077137,24.887224
RS232-T1700,Trojan,264,4.5674744,5.898874,0.21878904,24.89169
RS232-T1800,Trojan,256,5.197462,5.627912,0.22041094,24.74809
RS232-T1900,Trojan,276,4.2955117,6.056281,0.2259568,24.665234
RS232-T2000,Trojan,268,4.359785,5.9655223,0.22363704,24.818594
RS232-T300,Trojan,392,0.0477752,17.640135,0.2270667,0.21506603
RS232-T500,Trojan,269,0.055367235,14.52486,0.25982672,0.22066708
RS232-T600,Trojan,140,0.028928539,3.0394163,0.16825718,0.08594032
RS232-T700,Trojan,140,0.028928535,3.0394163,0.16825718,0.08594032
RS232-T900,Trojan,150,0.030256145,3.026257,0.16036612,0.08605331
SRAM-T320,Trojan,12773,1.637362,109.314354,0.46493667,2.2744248
UART-HT100,Trojan,342,0.03698194,7.099085,0.2143215,0.15246287
UART-HT110,Trojan,279,0.038987465,6.907639,0.20289385,0.17464815
UART-T200,Trojan,166,2.6240025,3.994038,0.1747629,10.617967
